date,staff
2025-06-01,"['7', '3', '2']"
2025-06-02,"['9', '8', '6', '4', '3', '1', '0']"
2025-06-03,"['9', '8', '6', '5', '4', '3', '2', '0']"
2025-06-04,"['9', '8', '6', '5', '4', '2', '1']"
2025-06-05,"['8', '7', '5', '4', '2', '0']"
2025-06-06,"['9', '4', '1']"
2025-06-07,"['5', '1']"
2025-06-08,"['6', '5', '0']"
2025-06-09,"['9', '8', '6', '5', '3', '1', '0']"
2025-06-10,"['8', '7', '5', '4', '2', '0']"
2025-06-11,"['8', '7', '5', '3', '2', '0']"
2025-06-12,"['9', '8', '6', '5', '4', '2', '0']"
2025-06-13,"['8', '7', '5', '3', '2', '0']"
2025-06-14,"['8', '4', '1']"
